Ref,Val,Package,PosX,PosY,Rot,Side
"AO3403A1","~","AO3403A",130.712500,-121.635000,0.000000,top
"AO3403A2","~","AO3403A",116.672500,-115.485000,0.000000,top
"AO3403A3","~","AO3403A",116.202500,-105.205000,0.000000,top
"AO3403A4","~","AO3403A",172.747500,-77.175000,180.000000,top
"AO3403A5","~","AO3403A",172.982500,-123.115000,0.000000,top
"AO3403A6","~","AO3403A",154.117500,-115.745000,180.000000,top
"AO3403A7","~","AO3403A",141.287500,-114.555000,180.000000,top
"AO3403A8","~","AO3403A",102.025000,-100.937500,90.000000,top
"C1","0.22u","C_0402_1005Metric",107.250000,-96.750000,-90.000000,top
"C2","0.1u","C_0402_1005Metric",107.250000,-99.770000,90.000000,top
"IC1","SN74LVC2G04DBVR","SOT-23-6",176.250000,-96.750000,-90.000000,top
"IC2","SN74LVC2G04DBVR","SOT-23-6",184.750000,-86.250000,-90.000000,top
"IC3","SN74LVC2G32DCURG4","VSSOP-8_2.3x2mm_P0.5mm",156.500000,-76.250000,90.000000,top
"IC4","74HCT11PW,118","SOIC127P600X175-14N - IC4",134.750000,-76.000000,-90.000000,top
"IC5","NL17SZ11DBVT1G","SOT-363_SC-70-6",148.000000,-76.250000,90.000000,top
"IC6","TC7W08FU","SSOP-8_2.95x2.8mm_P0.65mm",164.250000,-75.750000,0.000000,top
"IC7","LM7805MPX_NOPB","SOT230P700X180-4N",112.900000,-98.200000,0.000000,top
"J1","B4B-EH-A_LF__SN_","JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical",191.580000,-92.800000,90.000000,top
"J2","691216510002S","691216510002S",157.280000,-123.780000,180.000000,top
"J3","691216510002S","691216510002S",138.880000,-123.870000,180.000000,top
"J4","691216510002S","691216510002S",103.930000,-109.510000,90.000000,top
"J5","Conn_01x03_Pin","PinHeader_1x03_P2.54mm_Vertical",103.500000,-85.420000,0.000000,top
"J6","691216510002S","691216510002S",116.540000,-76.000000,0.000000,top
"Q1","AO3400A","SOT95P280X125-3N",185.000000,-116.500000,0.000000,top
"Q2","AO3400A","SOT95P280X125-3N",182.495000,-104.800000,180.000000,top
"Q3","AO3400A","SOT95P280X125-3N",181.860000,-94.530000,180.000000,top
"Q4","AO3400A","SOT95P280X125-3N",126.255000,-125.800000,0.000000,top
"Q5","AO3400A","SOT95P280X125-3N",112.000000,-119.000000,0.000000,top
"Q6","AO3400A","SOT95P280X125-3N",112.000000,-108.500000,0.000000,top
"Q7","AO3400A","SOT95P280X125-3N",177.000000,-75.000000,180.000000,top
"Q8","AO3400A","SOT95P280X125-3N",168.500000,-125.250000,0.000000,top
"Q9","AO3400A","AO3403A",150.847500,-115.725000,180.000000,top
"Q10","AO3400A","AO3403A",138.087500,-114.585000,180.000000,top
"Q11","AO3400A","AO3403A",101.957500,-98.705000,180.000000,top
"R1","100R","R_0603_1608Metric",125.000000,-118.000000,0.000000,top
"R2","100R","R_0603_1608Metric",170.000000,-114.211530,180.000000,top
"R3","100R","R_0603_1608Metric",170.000000,-108.634610,180.000000,top
"R4","100R","R_0603_1608Metric",170.000000,-86.326930,180.000000,top
"R5","100R","R_0603_1608Metric",170.000000,-91.903850,180.000000,top
"R6","100R","R_0603_1608Metric",170.000000,-97.480770,180.000000,top
"R7","100R","R_0603_1608Metric",170.000000,-103.057690,180.000000,top
"R8","100R","R_0603_1608Metric",125.000000,-95.025646,0.000000,top
"R9","100R","R_0603_1608Metric",125.000000,-89.282058,0.000000,top
"R10","100R","R_0603_1608Metric",125.000000,-83.538470,0.000000,top
"R11","100R","R_0603_1608Metric",125.000000,-100.769234,0.000000,top
"R12","100R","R_0603_1608Metric",125.000000,-106.512822,0.000000,top
"R13","100R","R_0603_1608Metric",125.000000,-112.256410,0.000000,top
"R14","82R","R_0603_1608Metric",170.000000,-117.000000,180.000000,top
"R15","82R","R_0603_1608Metric",170.000000,-111.423070,180.000000,top
"R16","82R","R_0603_1608Metric",170.000000,-105.846150,180.000000,top
"R17","82R","R_0603_1608Metric",170.000000,-83.538470,180.000000,top
"R18","82R","R_0603_1608Metric",170.000000,-89.115390,180.000000,top
"R19","82R","R_0603_1608Metric",170.000000,-94.692310,180.000000,top
"R20","82R","R_0603_1608Metric",170.000000,-100.269230,180.000000,top
"R21","82R","R_0603_1608Metric",125.000000,-97.897440,0.000000,top
"R22","82R","R_0603_1608Metric",125.000000,-92.153852,0.000000,top
"R23","82R","R_0603_1608Metric",125.000000,-86.410264,0.000000,top
"R24","82R","R_0603_1608Metric",125.000000,-103.641028,0.000000,top
"R25","82R","R_0603_1608Metric",125.000000,-109.384616,0.000000,top
"R26","82R","R_0603_1608Metric",125.000000,-115.128204,0.000000,top
"R27","82R","R_0603_1608Metric",147.500000,-124.500000,180.000000,top
"R28","10","R_0603_1608Metric",184.750000,-113.250000,180.000000,top
"R29","10k","R_0603_1608Metric",181.250000,-116.500000,90.000000,top
"R30","10k","R_0603_1608Metric",185.000000,-119.250000,180.000000,top
"R31","10","R_0603_1608Metric",187.000000,-106.925000,90.000000,top
"R32","10k","R_0603_1608Metric",186.820000,-103.800000,0.000000,top
"R33","10k","R_0603_1608Metric",182.500000,-108.250000,0.000000,top
"R34","10","R_0603_1608Metric",187.230000,-94.410000,-90.000000,top
"R35","10k","R_0603_1608Metric",185.250000,-94.410000,-90.000000,top
"R36","10k","R_0603_1608Metric",182.175000,-91.750000,0.000000,top
"R37","10","R_0603_1608Metric",126.430000,-122.500000,180.000000,top
"R38","10k","R_0603_1608Metric",122.250000,-126.000000,90.000000,top
"R39","10k","R_0603_1608Metric",130.255000,-126.050000,-90.000000,top
"R40","10","R_0603_1608Metric",111.835000,-115.610000,180.000000,top
"R41","10k","R_0603_1608Metric",108.410000,-118.785000,90.000000,top
"R42","10k","R_0603_1608Metric",116.660000,-119.360000,0.000000,top
"R43","10","R_0603_1608Metric",112.000000,-105.000000,180.000000,top
"R44","10k","R_0603_1608Metric",111.860000,-111.630000,180.000000,top
"R45","10k","R_0603_1608Metric",116.250000,-109.500000,0.000000,top
"R46","10","R_0603_1608Metric",177.505000,-77.800000,0.000000,top
"R47","10k","R_0603_1608Metric",180.255000,-75.050000,-90.000000,top
"R48","10k","R_0603_1608Metric",172.680000,-73.800000,180.000000,top
"R49","10","R_0603_1608Metric",168.245000,-121.950000,180.000000,top
"R50","10k","R_0603_1608Metric",164.210000,-123.410000,90.000000,top
"R51","10k","R_0603_1608Metric",172.995000,-126.450000,0.000000,top
"R52","10","R_0603_1608Metric",148.950000,-112.090000,180.000000,top
"R53","10k","R_0603_1608Metric",148.030000,-115.210000,90.000000,top
"R54","10k","R_0603_1608Metric",152.700000,-112.040000,180.000000,top
"R55","100R","R_0603_1608Metric",157.560000,-116.730000,0.000000,top
"R56","10","R_0603_1608Metric",141.590000,-111.060000,180.000000,top
"R57","10k","R_0603_1608Metric",135.790000,-115.615000,90.000000,top
"R58","10k","R_0603_1608Metric",144.250000,-113.460000,90.000000,top
"R59","100R","R_0603_1608Metric",141.650000,-116.510000,0.000000,top
"R60","10","R_0603_1608Metric",104.250000,-95.590000,90.000000,top
"R61","10k","R_0603_1608Metric",100.340000,-95.050000,0.000000,top
"R62","10k","R_0603_1608Metric",105.610000,-100.770000,90.000000,top
"R63","100R","R_0603_1608Metric",100.120000,-100.320000,-90.000000,top
"RS-3535MWAR1","~","RS-3535MWAR",162.000000,-115.000000,180.000000,top
"RS-3535MWAR2","~","RS-3535MWAR",157.000000,-110.000000,180.000000,top
"RS-3535MWAR3","~","RS-3535MWAR",152.000000,-105.000000,180.000000,top
"RS-3535MWAR4","~","RS-3535MWAR",162.000000,-86.000000,180.000000,top
"RS-3535MWAR5","~","RS-3535MWAR",157.000000,-90.700000,180.000000,top
"RS-3535MWAR6","~","RS-3535MWAR",152.000000,-95.250000,180.000000,top
"RS-3535MWAR7","~","RS-3535MWAR",142.000000,-95.250000,0.000000,top
"RS-3535MWAR8","~","RS-3535MWAR",137.000000,-90.700000,0.000000,top
"RS-3535MWAR9","~","RS-3535MWAR",132.000000,-86.000000,0.000000,top
"RS-3535MWAR10","~","RS-3535MWAR",142.000000,-105.000000,0.000000,top
"RS-3535MWAR11","~","RS-3535MWAR",137.000000,-110.000000,0.000000,top
"RS-3535MWAR12","~","RS-3535MWAR",132.000000,-115.000000,0.000000,top
"RS-3535MWAR13","~","RS-3535MWAR",147.000000,-100.000000,180.000000,top
"RS-3535MWAR14","~","RS-3535MWAR",147.500000,-121.000000,0.000000,top
